,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
aspiradora,19,19,15,22,16,21,18,19,16,19,16,17,19,14,20,20,18,25,19,26,22,18,20,26,18,24,25,22,23,21,42,25,35,30,34,35,39,53,33,20,25,25,33,22,25,24,23,26,23,23,26,25,24,28,23,24,22,21,24,27,23,27,21,24,26,19,23,23,21,26,27,26,27,24,23,25,28,34,27,26,30,33,42,36,40,36,31,43,40,49,34,32,31,35,39,26,24,29,25,30,26,26,24,27,27,25,27,30,28,30,28,24,26,29,29,26,28,31,30,29,32,31,29,33,29,32,30,25,37,35,38,32,40,42,68,42,49,40,45,61,51,46,49,39,34,33,37,37,29,37,30,30,31,37,40,40,33,34,35,39,33,30,36,37,34,33,37,36,39,34,30,34,32,47,54,42,45,40,43,39,47,44,44,47,54,49,77,54,49,48,42,59,62,77,61,51,46,40,46,51,48,44,46,42,36,41,44,36,41,35,42,38,44,36,40,50,35,43,36,43,49,42,44,41,38,44,38,41,44,41,46,33,45,43,44,45,47,54,61,100,56,46,45,55,58,67,53,44,44,46,48,39,45,46,39,26,38,37,60,59,78
bicicleta,40,39,40,36,35,39,36,37,38,37,37,35,38,41,40,43,43,45,42,42,42,41,44,37,35,34,33,33,32,35,32,31,34,34,33,38,40,35,31,33,35,33,31,33,32,31,32,33,36,36,39,39,37,37,34,39,39,38,37,36,42,42,56,66,73,71,80,75,88,84,86,83,100,80,76,74,64,55,54,55,57,61,53,46,57,49,48,55,59,47,43,40,39,40,39,44,45,45,46,44,46,44,47,51,44,44,41,46,42,44,45,40,41,38,41,42,43,45,44,44,42,47,45,47,45,45,41,37,40,36,40,39,36,38,41,35,38,34,32,37,39,33,34,33,33,28,32,31,33,34,32,31,35,37,33,42,39,41,39,41,40,39,40,39,37,36,37,39,39,42,46,41,43,45,45,48,44,46,42,43,40,35,37,30,35,35,34,33,35,36,34,39,43,36,38,31,29,31,33,35,38,36,41,40,47,39,36,38,39,43,39,40,39,39,40,38,40,38,36,38,39,36,43,43,47,47,45,44,42,45,44,39,41,36,34,39,32,31,30,35,33,36,34,40,44,39,36,30,34,37,34,35,38,37,32,66,74,67,77,79,98
bicicleta estatica,9,7,4,7,4,8,6,5,6,7,6,6,5,6,8,6,7,7,7,6,7,5,7,5,7,5,5,6,5,5,6,5,6,3,5,8,9,7,6,6,10,8,8,7,8,6,6,7,6,8,8,7,7,6,8,7,7,7,5,7,5,6,5,8,5,7,8,6,6,8,6,7,8,9,9,5,9,5,6,5,7,6,9,6,9,7,4,7,11,11,8,9,6,6,9,8,7,10,8,8,7,7,4,7,7,7,8,7,6,6,4,6,6,8,6,5,5,6,8,5,5,6,8,8,8,5,6,6,5,4,6,6,6,5,7,7,7,7,5,6,6,7,8,8,7,6,6,8,6,9,8,6,8,7,6,8,5,6,6,7,5,6,8,7,6,6,6,6,6,5,6,7,7,7,6,8,6,6,5,7,4,5,7,5,6,6,8,5,7,6,5,6,9,10,9,6,7,8,6,5,7,6,8,6,6,7,7,6,8,5,6,5,7,6,5,5,5,4,6,6,7,6,7,6,6,7,7,6,7,6,7,6,8,6,6,7,6,6,8,8,7,8,7,9,9,11,9,9,7,8,7,6,7,7,8,62,68,60,78,82,100
juguetes,16,17,16,14,15,15,17,18,17,17,20,18,20,21,22,19,22,21,22,20,19,20,21,20,26,30,49,56,55,66,87,82,99,100,86,95,62,26,23,23,24,23,22,22,23,22,20,23,21,20,20,17,18,20,20,19,20,22,18,20,19,23,23,25,22,23,23,23,21,24,27,25,24,23,24,25,32,36,47,57,62,67,87,74,94,95,87,84,98,30,24,24,21,23,25,25,24,25,22,20,20,23,23,20,22,24,21,21,21,23,24,24,22,26,23,23,23,25,25,29,25,26,27,25,23,23,27,25,27,35,43,49,56,67,87,80,91,91,96,94,84,30,26,26,23,21,22,22,22,18,19,20,21,20,20,18,18,21,18,20,20,19,22,19,22,20,24,25,24,24,23,26,25,23,25,27,22,24,23,23,25,30,40,46,54,67,78,70,78,94,93,91,88,33,20,21,20,20,21,20,19,19,18,18,18,17,21,18,20,15,18,17,18,18,17,19,19,21,20,22,21,21,21,21,20,23,23,21,20,18,20,23,24,25,31,47,40,48,57,65,66,74,80,81,85,31,20,19,18,16,19,17,16,19,13,13,17,19,26,26,35
cosméticos,12,51,33,48,20,57,24,21,26,42,26,35,31,30,31,36,41,22,28,28,23,34,37,44,46,58,51,33,30,26,51,48,47,50,21,35,47,64,32,20,37,28,8,36,36,53,33,74,38,20,52,51,50,21,32,39,46,30,30,34,36,40,14,33,24,44,25,37,22,41,46,51,54,66,30,17,31,26,34,26,30,43,47,57,30,37,31,24,36,41,20,66,42,35,12,63,37,39,30,42,32,24,49,40,26,8,38,50,21,24,32,38,25,34,48,17,26,51,29,26,45,25,28,40,20,35,8,41,39,33,33,37,56,45,40,29,37,49,63,26,52,39,36,32,47,32,29,29,42,45,49,25,36,29,51,50,42,58,52,22,29,31,48,44,48,18,44,47,30,56,38,41,43,50,52,39,28,42,35,25,29,28,56,43,34,35,73,63,55,62,51,62,28,50,48,45,59,49,38,28,52,60,57,57,60,78,37,50,100,45,74,41,61,33,30,53,63,36,60,41,57,28,29,33,45,47,58,39,52,45,35,55,74,47,60,51,74,68,49,72,57,59,50,46,49,73,52,63,60,75,80,60,56,63,39,44,42,50,45,79,39
camiseta,31,38,41,43,50,49,52,49,41,50,45,45,44,47,44,45,43,43,39,32,33,31,31,29,28,26,27,29,34,30,28,25,31,34,33,31,30,28,28,32,30,26,25,28,29,28,28,29,32,30,34,34,36,43,44,48,55,69,52,51,52,44,53,56,50,43,40,40,37,38,40,34,36,30,34,34,44,35,33,32,29,29,35,36,41,37,32,36,36,29,29,28,28,32,33,34,29,36,35,37,35,35,39,41,48,44,42,46,51,64,59,58,49,48,53,54,52,47,51,53,55,52,50,42,44,39,43,40,38,40,37,43,100,42,38,38,40,39,42,43,40,34,36,36,40,38,34,34,35,41,37,42,40,42,41,47,52,51,55,55,69,74,71,80,71,68,70,63,62,49,56,60,53,52,54,48,46,50,46,42,39,41,40,35,35,36,36,41,45,46,42,50,44,39,36,33,32,37,38,42,48,45,43,47,48,40,40,40,43,53,55,56,61,57,80,59,58,63,63,65,60,57,60,58,53,55,52,46,44,46,43,41,45,40,43,42,40,45,36,43,41,50,49,50,47,42,39,36,40,46,45,46,38,44,32,19,22,27,32,34,38
hotel,59,57,61,61,61,70,69,75,80,82,91,94,94,95,98,93,89,77,70,65,58,56,56,62,54,52,51,50,52,51,46,50,43,40,37,48,46,52,56,56,57,60,59,59,59,61,63,66,61,58,59,59,65,63,63,68,69,72,77,74,81,82,91,91,94,95,100,92,80,82,75,72,66,67,60,60,56,53,54,50,48,48,48,47,46,41,36,47,48,53,55,57,58,58,60,59,58,61,63,61,64,65,70,66,63,62,62,65,67,70,75,78,82,80,87,88,89,91,94,98,85,78,69,71,64,67,61,57,59,52,51,48,51,52,49,49,51,40,36,47,45,49,56,58,55,54,59,58,54,57,56,59,65,60,57,61,62,59,62,63,61,62,66,68,72,75,81,86,88,89,93,93,88,86,77,69,66,74,64,62,62,52,52,49,51,49,45,48,47,42,38,45,48,49,53,52,56,58,59,58,60,58,60,60,61,59,62,63,57,58,64,60,61,65,70,72,75,79,85,86,86,87,90,94,92,85,75,72,62,61,62,59,58,59,53,55,50,48,49,48,51,45,42,47,50,49,53,52,56,56,59,57,56,49,34,19,14,12,14,13,13
booking,54,50,57,58,58,69,66,70,76,81,89,91,91,92,92,88,82,72,64,57,51,50,50,54,46,43,44,45,43,41,39,46,34,32,33,40,35,40,43,44,43,45,42,45,48,50,54,55,51,43,44,47,50,51,49,52,54,55,61,59,67,67,80,80,79,80,89,83,72,65,60,54,49,47,45,45,42,40,41,40,37,39,34,36,36,31,28,37,40,45,44,44,47,50,46,49,50,53,53,54,59,61,65,58,57,55,57,59,59,60,64,70,73,76,83,83,84,88,98,95,79,77,66,63,57,55,53,50,56,48,47,46,50,49,48,47,48,39,35,45,45,52,58,58,53,55,57,62,57,56,61,64,71,60,59,61,65,61,58,63,63,63,65,70,76,77,86,87,88,93,100,94,89,83,78,68,62,65,60,57,58,48,51,45,45,47,46,46,46,40,36,43,47,54,55,54,54,56,58,61,60,56,63,62,63,59,66,69,61,61,63,65,68,71,75,75,83,86,93,92,95,92,98,97,91,88,75,68,56,55,57,55,54,50,50,54,52,48,49,50,52,43,39,45,51,55,58,57,58,61,64,62,57,55,45,18,13,11,13,11,13
alojamiento,41,35,41,42,44,43,53,53,60,66,76,75,76,79,85,77,69,52,46,43,37,36,40,48,33,29,30,32,32,28,29,34,27,22,22,27,29,38,38,39,37,41,43,46,41,48,54,54,45,42,38,39,47,38,44,46,48,50,52,58,57,62,84,80,87,83,94,100,67,59,47,45,37,39,38,40,32,37,36,28,29,30,31,31,31,26,22,30,31,34,38,39,40,41,42,47,44,45,48,48,47,57,55,49,47,42,43,46,48,49,55,60,62,66,73,74,77,78,89,87,70,57,52,50,41,41,41,38,46,29,33,34,35,36,35,33,37,27,22,30,31,37,41,44,40,40,44,44,40,45,44,50,56,42,43,45,45,42,43,44,45,44,46,53,54,59,66,72,80,79,85,81,75,67,57,48,48,45,42,49,51,36,37,37,37,39,31,34,36,30,26,35,30,38,39,41,44,45,43,46,52,45,52,53,53,45,51,54,42,46,46,43,46,51,57,57,62,68,72,78,74,80,79,80,75,69,55,50,43,39,41,40,45,37,40,42,37,34,37,34,41,31,25,32,35,38,41,40,42,46,47,52,44,37,22,8,8,8,10,11,11
turismo,74,65,68,61,69,70,68,80,81,79,88,94,98,99,100,97,88,75,72,69,60,65,62,70,58,62,53,58,58,52,53,59,56,45,40,48,46,53,66,60,60,58,64,64,61,69,75,82,64,60,57,59,64,60,67,62,61,57,64,65,64,65,72,84,83,80,93,81,72,74,58,59,55,60,58,55,55,51,53,50,52,52,47,52,51,42,37,40,46,54,52,54,50,53,52,63,56,59,67,57,63,68,79,67,59,57,58,57,57,56,57,57,60,67,64,71,79,76,82,89,84,65,60,55,54,54,56,54,62,63,52,48,49,55,54,52,57,40,39,47,42,49,51,56,48,49,49,54,48,48,54,55,66,53,49,58,57,54,56,56,51,48,54,54,52,56,56,61,66,66,63,65,69,65,59,55,49,49,51,48,49,43,42,44,44,40,38,42,47,36,31,38,39,39,39,40,44,41,47,49,51,40,47,49,52,49,51,62,48,47,48,44,41,43,48,47,52,50,53,53,58,51,61,63,64,62,49,46,41,40,53,53,53,66,51,48,43,39,40,35,41,33,31,35,38,39,42,39,43,43,45,44,43,49,35,23,23,27,28,32,30
camping,31,27,32,31,34,43,42,49,60,62,72,70,79,78,84,76,60,48,33,25,19,16,14,19,13,11,9,9,9,9,7,10,8,7,8,10,11,12,14,16,14,16,18,21,21,22,27,36,31,24,25,23,28,29,30,35,37,43,51,48,60,59,76,82,84,84,96,100,72,55,43,36,22,19,15,17,12,12,14,12,10,10,9,8,11,8,7,11,11,13,15,15,15,17,16,20,21,25,26,29,31,37,57,42,37,32,33,35,42,45,49,62,71,72,75,81,86,87,93,100,74,63,41,36,25,20,16,15,20,12,13,13,10,11,10,10,14,8,8,12,11,14,16,18,19,17,20,21,22,22,24,30,41,32,26,31,36,35,32,34,37,39,42,46,59,64,70,77,82,79,91,94,83,69,52,36,26,26,21,19,23,14,13,13,12,10,9,10,12,8,8,13,13,13,16,16,19,19,21,24,26,24,28,33,31,30,34,44,35,35,35,37,39,44,50,53,61,69,73,73,82,84,86,96,92,67,55,40,29,23,20,19,19,14,16,19,14,9,12,10,14,12,9,14,14,14,17,18,19,21,23,22,25,23,16,6,5,7,8,8,15
restaurante,52,45,43,44,41,47,44,48,50,50,49,52,53,53,58,62,62,55,48,50,46,44,45,49,52,45,46,50,52,50,53,58,67,57,49,58,53,46,46,48,50,60,53,49,50,50,54,67,51,48,48,49,59,59,51,57,50,52,51,51,55,53,58,61,63,66,67,69,71,66,59,59,52,55,56,56,65,56,57,66,60,61,63,66,79,65,55,66,66,51,52,54,54,58,63,57,58,58,65,60,59,57,79,61,56,76,61,59,56,58,59,60,62,63,66,68,67,74,73,83,85,75,66,62,61,56,58,54,70,54,57,64,64,68,69,66,90,68,62,69,62,53,56,59,57,57,68,61,58,57,59,60,83,63,55,56,60,80,62,63,58,62,61,60,60,64,65,73,74,75,78,83,91,86,75,66,64,65,62,62,75,60,61,73,66,71,64,72,86,73,69,78,78,58,58,55,62,65,74,69,70,66,67,74,67,61,64,82,66,77,65,61,60,60,60,63,68,71,69,71,73,76,81,90,100,89,80,70,66,64,66,67,69,63,65,78,67,69,78,73,86,81,74,80,82,63,61,60,66,68,77,66,68,63,36,10,12,11,12,13,16
bar,46,45,45,44,44,46,44,47,46,48,50,54,51,51,55,57,54,55,50,48,50,47,47,47,49,47,46,46,48,49,45,47,55,48,47,51,48,45,48,48,49,52,49,49,50,49,53,57,53,50,50,50,52,53,50,54,52,53,50,56,53,52,57,56,59,61,61,60,63,60,58,58,56,54,54,55,59,53,56,59,54,58,53,57,67,58,54,58,58,49,51,56,52,56,56,55,57,58,59,65,68,63,75,65,59,66,59,62,61,61,61,64,62,63,66,69,69,74,78,77,83,74,68,70,67,62,62,58,69,57,60,65,65,64,64,61,76,62,62,69,63,55,59,61,59,59,65,61,60,63,64,62,80,69,63,65,63,73,66,65,65,66,65,66,69,73,73,77,77,79,81,88,87,86,80,71,71,71,73,69,77,66,66,72,70,67,64,66,76,69,67,78,79,61,63,59,61,67,69,70,74,72,73,74,70,67,66,82,70,78,68,74,73,71,70,73,76,76,80,78,82,80,88,92,100,95,86,77,75,74,74,74,75,69,71,77,67,69,71,66,82,74,73,85,85,70,70,65,70,70,75,74,75,69,49,20,21,20,21,22,23
catering,70,83,73,73,78,71,64,73,67,68,65,64,66,44,60,59,55,64,64,81,90,71,73,82,69,56,65,69,78,72,68,71,65,72,58,42,56,71,60,62,57,66,58,77,65,67,64,45,63,80,73,73,73,68,89,82,83,82,70,84,66,65,65,67,43,66,61,65,54,59,79,95,100,86,94,70,82,80,86,68,86,75,67,71,62,58,61,68,51,69,62,57,70,67,63,67,63,69,59,63,72,53,46,58,72,65,73,84,76,73,74,67,81,64,60,60,59,64,49,61,51,56,68,74,81,85,93,69,80,68,57,59,76,75,58,66,66,83,73,74,48,58,70,67,92,57,63,71,55,67,59,63,43,61,62,73,69,62,77,63,81,74,72,66,77,70,58,70,63,57,52,42,49,54,64,79,84,72,83,81,75,86,78,64,83,81,57,74,74,75,72,64,53,56,65,72,76,69,67,73,63,68,65,62,72,63,66,48,80,66,79,81,75,73,94,84,80,89,77,60,53,54,62,60,45,52,56,82,73,87,99,90,73,79,83,74,78,85,77,71,71,91,87,63,60,55,61,71,68,64,72,67,66,73,51,26,25,31,30,37,36
